SubjNum,Age,Gender,Condition,Condition_HardBase,Condition_ImpossibleBase,TrialNumber,TrialNumber_AsFactor,TimeTrying,TimeTrying_sqrt,MaxPSI,MaxPSI_sqrt,HelpSeekingNum_exp,HelpSeekingNum_exp_avg,HelpSeekingRate_exp_avg,HelpSeekingRate_Recovery,NumAffectFrames,TotalPosFrames,TotalNegFrames,NumHints_Recovery
25,17.9,M,Easy,Easy,Easy,1,1,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,4
25,17.9,M,Easy,Easy,Easy,2,2,4.624,3.824133889,3.719,3.703916846,0,0,0,0,10,0,0,4
25,17.9,M,Easy,Easy,Easy,3,3,5.95,3.99374511,1.617,3.408372045,0,0,0,0,12,4,0,4
27,18,M,Hard,Hard,Hard,1,1,0.85,3.293933818,0.204,3.194370047,0,0,0,0,2,2,0,2
27,18,M,Hard,Hard,Hard,2,2,0.51,3.241913015,-0.036,3.156580428,0,0,0,0,2,0,0,2
27,18,M,Hard,Hard,Hard,3,3,5.236,3.90333191,3.601,3.687953362,0,0,0,0,11,0,2,2
31,18.77,F,Hard,Hard,Hard,1,1,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,NA
31,18.77,F,Hard,Hard,Hard,2,2,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,NA
31,18.77,F,Hard,Hard,Hard,3,3,0,3.16227766,NA,NA,0,0,0,0,NA,NA,NA,NA
32,17.9,F,Impossible,Impossible,Impossible,1,1,0,3.16227766,NA,NA,0,0,0,0.00737137,NA,NA,NA,6
32,17.9,F,Impossible,Impossible,Impossible,2,2,0,3.16227766,NA,NA,0,0,0,0.00737137,NA,NA,NA,6
32,17.9,F,Impossible,Impossible,Impossible,3,3,0,3.16227766,NA,NA,0,0,0,0.00737137,NA,NA,NA,6
33,18.47,M,Impossible,Impossible,Impossible,1,1,12.58,4.751841748,3.977,3.738582619,0,0.333333333,0.01666667,0,24,14,0,0
33,18.47,M,Impossible,Impossible,Impossible,2,2,7.514,4.184973118,3.057,3.613447108,0,0.333333333,0.01666667,0,27,2,3,0
